260|a	Geocode Location
Boston: N.E. : Printed and sold by R. Draper in Newbury-Street, and by Edes & Gill, and Green & Russell, in Queen-Street.,	Boston, Massachusetts
Boston: New-England, :	Boston, Massachusetts
Boston : New-England, :	Boston, Massachusetts
Boston: New-England:	Boston, Massachusetts
Boston: New-England :	Boston, Massachusetts
Boston: New-England  :	Boston, Massachusetts
Boston: New-England: :	Boston, Massachusetts
Boston: New-England. :	Boston, Massachusetts
Boston : New England. :	Boston, Massachusetts
Boston: State of Massachusetts-Bay, :	Boston, Massachusetts
Boston: state of Massachusetts-Bay :	Boston, Massachusetts
Boston: State of Massachusetts-Bay :	Boston, Massachusetts
Boston.	Boston, Massachusetts
Boston. :	Boston, Massachusetts
Boston  (Commonwealth of Massachusetts,) :	Boston, Massachusetts
Boston (Massachusetts) :	Boston, Massachusetts
Boston [i.e., New London, Conn.] :	Boston, Massachusetts
Boston [Mass.]	Boston, Massachusetts
Boston [Mass.] :	Boston, Massachusetts
Boston]	Boston, Massachusetts
Boston Commonwealth of Massachusetts :	Boston, Massachusetts
Bostoni, Nov-Anglorum, :	Boston, Massachusetts
Bostoni¾ :	Boston, Massachusetts
Bostoni¾ [Boston] :	Boston, Massachusetts
Bostoniae, Americae :	Boston, Massachusetts
Bostoniae :	Boston, Massachusetts
Bostoniae: :	Boston, Massachusetts
Bostoniae:  :	Boston, Massachusetts
Bostoniae: Nov. Ang. :	Boston, Massachusetts
Bostoni in Nov-Anglia :	Boston, Massachusetts
Bostoni in Nov-Anglia excusum :	Boston, Massachusetts
Bostoni-Massachusettensium :	Boston, Massachusetts
Boston in N.E. :	Boston, Massachusetts
Boston in N. E. :	Boston, Massachusetts
Boston in N.E. [i.e. New England] :	Boston, Massachusetts
Boston in N.E. [New England] :	Boston, Massachusetts
Boston in N.E. printed :	Boston, Massachusetts
Boston in N. England :	Boston, Massachusetts
Boston in N E :	Boston, Massachusetts
Boston in N E. :	Boston, Massachusetts
Boston in New=England :	Boston, Massachusetts
Boston in New-Engiand [sic] :	Boston, Massachusetts
Boston in New-England	Boston, Massachusetts
Boston in New-England,	Boston, Massachusetts
Boston in New-England, :	Boston, Massachusetts
Boston in New England :	Boston, Massachusetts
Boston in New-England:	Boston, Massachusetts
Boston in New-England :	Boston, Massachusetts
Boston in New-England  :	Boston, Massachusetts
Boston  in New-England :	Boston, Massachusetts
Boston in New England: :	Boston, Massachusetts
Boston in New-England: :	Boston, Massachusetts
Boston in New-England.	Boston, Massachusetts
Boston in New-England. :	Boston, Massachusetts
Boston N, E. :	Boston, Massachusetts
Boston  N.E. :	Boston, Massachusetts
Boston  New England, :	Boston, Massachusetts
Boston  New-England, :	Boston, Massachusetts
Boston New-England :	Boston, Massachusetts
Boston  New England:	Boston, Massachusetts
Boston  New-England :	Boston, Massachusetts
Boston  New England: :	Boston, Massachusetts
Boston  New-England: :	Boston, Massachusetts
Boston of the Massachusetts :	Boston, Massachusetts
Boston printed,	Boston, Massachusetts
Boston printed, :	Boston, Massachusetts
Boston printed :	Boston, Massachusetts
Columbia [i.e., Boston] :	Boston, Massachusetts
Columbia [i.e. Boston?] printed. :	Boston, Massachusetts
Commonwealth of Massachusetts, Boston, N.E. :	Boston, Massachusetts
Commonwealth of Massachusetts: Boston, :	Boston, Massachusetts
Commonwealth of Massachusetts: Boston :	Boston, Massachusetts
Commonwealth of Massachusetts: Boston: :	Boston, Massachusetts
Commonwealth of Massachusetts. Boston :	Boston, Massachusetts
Danvers [Mass.], near Boston :	Boston, Massachusetts
Danvers [Mass.], near Boston: :	Boston, Massachusetts
Dublin [i.e., Boston] :	Boston, Massachusetts
Imprim  Boston. :	Boston, Massachusetts
"Lancaster, (Pennsylvania);""Boston,"""	Boston, Massachusetts
"London,;""Boston,"""	Boston, Massachusetts
London [i.e., Boston] :	Boston, Massachusetts
Massachuset, Boston :	Boston, Massachusetts
Massachusetts  Boston, :	Boston, Massachusetts
Massachusetts  Boston :	Boston, Massachusetts
Massachusetts-State: Boston :	Boston, Massachusetts
Massachusetts-state: Boston  :	Boston, Massachusetts
Massachusetts-state. Boston :	Boston, Massachusetts
Massachusetts-State  Boston :	Boston, Massachusetts
New-England, Boston :	Boston, Massachusetts
New England [i.e. Boston] :	Boston, Massachusetts
Philadelphia, printed. Boston :	Boston, Massachusetts
Philadelphia [i.e., Boston?],	Boston, Massachusetts
"Portlamd, ME;""Boston, MA :"""	Boston, Massachusetts
Printed, typographically, at Boston, :	Boston, Massachusetts
Printed, typographically, at Boston :	Boston, Massachusetts
Printed at Boston	Boston, Massachusetts
Printed at Boston,	Boston, Massachusetts
Printed at Boston, :	Boston, Massachusetts
Printed at Boston, (according to act of Congress.) :	Boston, Massachusetts
Printed at Boston, Massachusetts, :	Boston, Massachusetts
Printed at Boston, Massachusetts :	Boston, Massachusetts
"Printed at Boston ;""Repr. Edinb.,"""	Boston, Massachusetts
Printed at Boston :	Boston, Massachusetts
Printed at Boston. :	Boston, Massachusetts
Printed at Boston in N. England :	Boston, Massachusetts
Printed at Boston in New-England, :	Boston, Massachusetts
Printed at Boston in New-England :	Boston, Massachusetts
Printed at the Apollo Press, in Boston :	Boston, Massachusetts
"Printed at Worcester, Massachusetts,;""Sold in Worcester,"";""In Boston"";""In Baltimore,"";""In Albany,"""	Boston, Massachusetts
Printed in Boston,	Boston, Massachusetts
Printed in Boston, :	Boston, Massachusetts
Printed in Boston, 1793. :	Boston, Massachusetts
Printed in Boston, Massachusetts :	Boston, Massachusetts
Printed in Boston, Massachusetts: at the State Press, :	Boston, Massachusetts
Printed in Boston :	Boston, Massachusetts
Printed in Boston. :	Boston, Massachusetts
Printed typographically, at Boston, :	Boston, Massachusetts
Reimprimee a Boston, :	Boston, Massachusetts
Re-printed at Boston in N.E. :	Boston, Massachusetts
State of Massachusetts. Boston: :	Boston, Massachusetts
State of Massachusetts-Bay. Boston :	Boston, Massachusetts
[Me.] :	Bowdoinham, Maine
Bradford, New Hampshire,	Bradford, New Hampshire
Brattleboro' [Vt.]: :	Brattleboro, Vermont
Brattleborough, Vermont: :	Brattleboro, Vermont
Brattleborough [Vt.]: :	Brattleboro, Vermont
Printed at Brattleborough,	Brattleboro, Vermont
Printed at Brattleborough [Vt.] :	Brattleboro, Vermont
Bridgeport [Conn.]: :	Bridgeport, Connecticut
[Bridgetown] :	Bridgetown, Barbados
Barbados :	Bridgetown, Barbados
Barbados [Bridgetown, Barbados?] :	Bridgetown, Barbados
[Bridgewater, Mass. :	Bridgewater, Massachusetts
Bristol,	Bristol, Massachusetts
[Brookfield, Mass.] :	Brookfield, Massachusetts
Brookfield, (Mass.) :	Brookfield, Massachusetts
Brookfield, (Massachusetts:) :	Brookfield, Massachusetts
Brookfield, Mass.,	Brookfield, Massachusetts
Brookfield, Mass. :	Brookfield, Massachusetts
Brookfield: (Massachusetts) :	Brookfield, Massachusetts
Printed at Brookfield, (Massachusetts,) :	Brookfield, Massachusetts
Printed at Brookfield, Mass. :	Brookfield, Massachusetts
Printed at Brookfield, Massachusetts, :	Brookfield, Massachusetts
Printed at Brookfield, Massachusetts :	Brookfield, Massachusetts
Printed at Brookfield (Massachusetts) :	Brookfield, Massachusetts
[Buenos Aires :	Buenos Aires, Argentina
[Buenos Aires :bs.n.,	Buenos Aires, Argentina
[Buenos Aires] :	Buenos Aires, Argentina
[Buenos-Ayres :	Buenos Aires, Argentina
Buenos-Ayres, MDCCLXXXVIII :	Buenos Aires, Argentina
Buenos Ayres :	Buenos Aires, Argentina
Buenos-Ayres :	Buenos Aires, Argentina
Buenos-Ayres: :	Buenos Aires, Argentina
Buenos Ayres. MDCCLXXXI :	Buenos Aires, Argentina
Buenos-Ayres. MDCCLXXXI :	Buenos Aires, Argentina
Buenos-Ayres. MDCCLXXXIII :	Buenos Aires, Argentina
Buenos-Ayres MDCCLXXXIV :	Buenos Aires, Argentina
Buenos-Ayres MDCCLXXXIX :	Buenos Aires, Argentina
Buenos-Ayres MDCCLXXXVIII :	Buenos Aires, Argentina
Buenos-Ayres MDCCXC :	Buenos Aires, Argentina
En Buenos=Ayres :	Buenos Aires, Argentina
En Buenos=Ayres. :	Buenos Aires, Argentina
En Buenosaires [sic] :	Buenos Aires, Argentina
En Buenos-Ayres :	Buenos Aires, Argentina
En Buenos-Ayres: :	Buenos Aires, Argentina
In Civitate Bonaerensi :	Buenos Aires, Argentina
In Civitate Bonaerensi: :	Buenos Aires, Argentina
Reimpresa en Buenos-Ayres, :	Buenos Aires, Argentina
Reimpreso en Buenos-Ayres :	Buenos Aires, Argentina
Reimpreso en Buenos-Ayres. :	Buenos Aires, Argentina
[Buffalo, N.Y.,	Buffalo, New York
[Burlington, N.J. :	Burlington, New Jersey
[Burlington, N.J.]	Burlington, New Jersey
[Burlington, N.J.] :	Burlington, New Jersey
[Burlington? :	Burlington, New Jersey
Burlington, [N.J.] :	Burlington, New Jersey
Burlington, New-Jersey :	Burlington, New Jersey
Burlington :	Burlington, New Jersey
Burlington (N.J.), :	Burlington, New Jersey
Burlington [N.J.], :	Burlington, New Jersey
Burlington [N.J.]:	Burlington, New Jersey
Burlington [N.J.] :	Burlington, New Jersey
[Burlington, Vt. :	Burlington, Vermont
[Cambridge, Mass :	Cambridge, Massachusetts
[Cambridge, Mass.	Cambridge, Massachusetts
[Cambridge, Mass. :	Cambridge, Massachusetts
[Cambridge, Mass.? :	Cambridge, Massachusetts
[Cambridge, Mass.]	Cambridge, Massachusetts
[Cambridge, Mass.] :	Cambridge, Massachusetts
[Cambridge [Mass.] :	Cambridge, Massachusetts
Cambr [i.e., Cambridge, Mass.]: :	Cambridge, Massachusetts
Cambridg, [Mass.] :	Cambridge, Massachusetts
Cambridg [i.e., Cambridge, Mass.] :	Cambridge, Massachusetts
Cambridg [i.e., Cambridge, Mass.]. :	Cambridge, Massachusetts
Cambridge,	Cambridge, Massachusetts
Cambridge, (Mass.) :	Cambridge, Massachusetts
Cambridge, [Mass.]	Cambridge, Massachusetts
Cambridge, [Mass.] :	Cambridge, Massachusetts
Cambridge, Mass.	Cambridge, Massachusetts
Cambridge, Mass. :	Cambridge, Massachusetts
Cambridge :	Cambridge, Massachusetts
Cambridge: [Mass.]	Cambridge, Massachusetts
Cambridge [Mass. :	Cambridge, Massachusetts
Cambridge [Mass.],	Cambridge, Massachusetts
Cambridge [Mass.], :	Cambridge, Massachusetts
Cambridge [Mass.]:	Cambridge, Massachusetts
Cambridge [Mass.] :	Cambridge, Massachusetts
Cambridge [Mass.]: :	Cambridge, Massachusetts
Cambridge [Mass.]. :	Cambridge, Massachusetts
Cambridge [Mass.] printed :	Cambridge, Massachusetts
Massachvset :	Cambridge, Massachusetts
[Cap-Franais, i.e. Cap-Hatien, Haiti :	Cap-Haïtien, Haiti
[Cap-Franais, i.e. Cap-Hatien, Haiti? :	Cap-Haïtien, Haiti
[Cap-Franais, i.e. Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
[Cap-Franais, i.e. Cap-Hatien :	Cap-Haïtien, Haiti
[Cap-Franais, i.e. Cap-Hatien?] :	Cap-Haïtien, Haiti
[Cap-Franais? i.e. Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
[Cap-H¬¡aitien, Haiti?] :	Cap-Haïtien, Haiti
[Cap Hatien, Haiti? :	Cap-Haïtien, Haiti
[Cap-Hatien, Haiti? :	Cap-Haïtien, Haiti
[Cap Hatien, Haiti?] :	Cap-Haïtien, Haiti
[Cap-Hatien, Haiti?] :	Cap-Haïtien, Haiti
[Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
[Cap Hatien? :	Cap-Haïtien, Haiti
[Cap-Hatien? :	Cap-Haïtien, Haiti
[Cap Hatien?] :	Cap-Haïtien, Haiti
[Cap-Hatien] :	Cap-Haïtien, Haiti
Au Cap, Isle Saint-Domingue :	Cap-Haïtien, Haiti
Au Cap :	Cap-Haïtien, Haiti
Au Cap [Cap-Franais, i.e. Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap [Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap [i.e. Cap-Franais, Haiti] :	Cap-Haïtien, Haiti
Au Cap [i.e. Cap Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap [i.e. Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap [i.e. Cap-Hatien] :	Cap-Haïtien, Haiti
Au Cap-Franais :	Cap-Haïtien, Haiti
Au Cap-Franais [Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap-Franais [i.e. Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap-Franais [i.e. Cap-Hatien] :	Cap-Haïtien, Haiti
Au Cap-Francais [i.e. Cap Haiten] :	Cap-Haïtien, Haiti
Au Cap Franois :	Cap-Haïtien, Haiti
Au Cap-Franois :	Cap-Haïtien, Haiti
Au Cap-Franois [i.e. Cap-Hatien, Haiti] :	Cap-Haïtien, Haiti
Au Cap Franois [i.e. Cap Hatien] :	Cap-Haïtien, Haiti
Cap,	Cap-Haïtien, Haiti
[Carlisle, Pa.] :	Carlisle, Pennsylvania
Carlisle,	Carlisle, Pennsylvania
Carlisle, (Pennsylvania) :	Carlisle, Pennsylvania
Carlisle [Pa.], :	Carlisle, Pennsylvania
Carlisle [Pa.] :	Carlisle, Pennsylvania
Printed at Carlisle [Pa.] :	Carlisle, Pennsylvania
En Cartagena de Indias: :	Cartagena, Colombia
[Castine, Me.] :	Castine, Maine
Castine [Me.]: :	Castine, Maine
A Castries, isle Ste-Lucie :	Castries, Saint Lucia
[Catskill] :	Catskill, New York
Catskill, :	Catskill, New York
Catskill [N.Y.] :	Catskill, New York
Printed in Catskill [N.Y.] :	Catskill, New York
A Cayenne, :	Cayenne, French Guiana
A Cayenne [French Guiana], :	Cayenne, French Guiana
Chambersburg, Pa.,	Chambersburg, Pennsylvania
Chambersburg [Pa.] :	Chambersburg, Pennsylvania
Chambersburg [Pa.]: :	Chambersburg, Pennsylvania
[Charleston, S.C. :	Charleston, South Carolina
[Charleston, S.C.? :	Charleston, South Carolina
[Charleston, S.C.] :	Charleston, South Carolina
[Charleston, SC] :	Charleston, South Carolina
[Charleston. S.C. :	Charleston, South Carolina
[South Carolina? :	Charleston, South Carolina
A Charleston :	Charleston, South Carolina
Charleston,	Charleston, South Carolina
Charleston, S.C.,	Charleston, South Carolina
Charleston, S.C. :	Charleston, South Carolina
Charleston, South-Carolina :	Charleston, South Carolina
Charleston :	Charleston, South Carolina
Charleston: South-Carolina :	Charleston, South Carolina
Charleston (S.C.) :	Charleston, South Carolina
Charleston [S.C.]	Charleston, South Carolina
Charleston [S.C.] :	Charleston, South Carolina
Charleston [S.C.]: :	Charleston, South Carolina
Charlestown,	Charleston, South Carolina
Charles-Town, South-Carolina: :	Charleston, South Carolina
Charlestown: :	Charleston, South Carolina
Charles-Town [i.e., Charleston, S.C.] :	Charleston, South Carolina
Charles-Town [i.e. Charleston, S.C.] :	Charleston, South Carolina
Charlestown [S.C.] :	Charleston, South Carolina
Charles-Town [S.C.] :	Charleston, South Carolina
South-Carolina, Charles-Town :	Charleston, South Carolina
South Carolina: Charles-Town :	Charleston, South Carolina
South-Carolina: Charles-Town :	Charleston, South Carolina
[Charlestown, Mass. :	Charlestown, Massachusetts
[Charlestown, Mass.] :	Charlestown, Massachusetts
[Charlestown? :	Charlestown, Massachusetts
Caroloppidi [Mass.]	Charlestown, Massachusetts
Charlestown:	Charlestown, Massachusetts
Charlestown: (Massachusetts.) :	Charlestown, Massachusetts
Charlestown [Mass.]	Charlestown, Massachusetts
Charlestown [Mass.] :	Charlestown, Massachusetts
Charlestown [Mass.]: :	Charlestown, Massachusetts
Charlestown  Mass.  :	Charlestown, Massachusetts
Massachusetts: Printed at Charlestown :	Charlestown, Massachusetts
Charlottesville [Va.] :	Charlottesville, Virginia
Chatham: [N.J.] :	Chatham, New Jersey
Chatham [N.J.] :	Chatham, New Jersey
[Chelmsford, Mass.? :	Chelmsford, Massachusetts
Chelmsford, Mass. :	Chelmsford, Massachusetts
[Cheshire, Conn.,	Cheshire, Connecticut
[Cheshire, Conn. :	Cheshire, Connecticut
[Cheshire, Conn.?	Cheshire, Connecticut
[Cheshire, Conn.? :	Cheshire, Connecticut
Cheshire, Conn.,	Cheshire, Connecticut
Cheshire, Conn.]	Cheshire, Connecticut
Cheshire: Connecticut. :	Cheshire, Connecticut
Cheshire [Conn.] :	Cheshire, Connecticut
Chesire: Connecticut. :	Cheshire, Connecticut
Ches[t]nuthill [Pa.] :	Chestnut Hill, Pennsylvania
Chesnuthill (Pa.) :	Chestnut Hill, Pennsylvania
Chesnut-Hill (Pa.) :	Chestnut Hill, Pennsylvania
Chesnuthill [Pa.], :	Chestnut Hill, Pennsylvania
Chesnuthill [Pa.] :	Chestnut Hill, Pennsylvania
Chestnuthill [Pa.] :	Chestnut Hill, Pennsylvania
[Cincinnati, Ohio :	Cincinnati, Ohio
Cincinnati,	Cincinnati, Ohio
Cincinnati :	Cincinnati, Ohio
Cincinnati [Ohio] :	Cincinnati, Ohio
Concord [Mass.] :	Concord, Massachusetts
[Concord, N.H.,	Concord, New Hampshire
[Concord, N.H.] :	Concord, New Hampshire
[Concord] :	Concord, New Hampshire
Concord,	Concord, New Hampshire
Concord, N.H. :	Concord, New Hampshire
Concord, N.H.?	Concord, New Hampshire
Concord [N.H.] :	Concord, New Hampshire
Concord [N.H.]: :	Concord, New Hampshire
Printed at Concord [N.H.], :	Concord, New Hampshire
Printed at Concord [N.H], :	Concord, New Hampshire
Conway [Mass.]: :	Conway, Massachusetts
Cooperstown [N.Y.] :	Cooperstown, New York
[Danbury, Conn. :	Danbury, Connecticut
[Danbury, Conn.] :	Danbury, Connecticut
[Danbury} :	Danbury, Connecticut
Danbury,	Danbury, Connecticut
Danbury :	Danbury, Connecticut
Danbury [Conn.] :	Danbury, Connecticut
Printed in Danbury [Conn.], :	Danbury, Connecticut
Danvers [Mass.] :	Danvers, Massachusetts
[Dedham, Mass.] :	Dedham, Massachusetts
Dedham,	Dedham, Massachusetts
Dedham :	Dedham, Massachusetts
Dedham [Mass.]	Dedham, Massachusetts
Dedham [Mass.] :	Dedham, Massachusetts
Dedham [Mass.]: :	Dedham, Massachusetts
Printed at Dedham [Mass.], :	Dedham, Massachusetts
Dexter, Me.,	Dexter, Maine
[Dorchester, Mass.,	Dorchester, Massachusetts
[Dover, N.H.] :	Dover, New Hampshire
[Dover?] New-Hampshire :	Dover, New Hampshire
Dover, (N.H.) :	Dover, New Hampshire
Dover, (New-Hampshire:) :	Dover, New Hampshire
Dover, (New-Hampshire.) :	Dover, New Hampshire
Dover, N.H.,	Dover, New Hampshire
Dover, N.H. :	Dover, New Hampshire
Dover :	Dover, New Hampshire
Dover [N.H.], :	Dover, New Hampshire
