basicGenre,cleanGenre,value
Libretti,Libretti,58
Newspapers,Literary newspapers,10
Periodicals,Literary periodicals,123
Liturgical books,Liturgical books,48
Manuscript agricultural notes,Manuscript agricultural notes,5
Manuscript diaries,Manuscript diaries,29
Manuscript financial accounts,Manuscript financial accounts,6
Manuscript meteorological notes,Manuscript meteorological notes,10
Manuscript music,Manuscript music,5
Maps,Maps,281
Maxims,Maxims,3
Periodicals,Medical periodicals,25
Memoirs,Memoirs,56
Memorials (Legal),Memorials (Legal),3
Metamorphic pictures,Metamorphic pictures,6
Military histories,Military histories,1
Periodicals,Military periodicals,2
Military registers,Military registers,14
Monographic series,Monographic series,8
Moral tales,Moral tales,15
Periodicals,Music periodicals,19
Fiction,Mystery and detective fiction,2
Music,National songs,47
Addresses,New Year addresses,11
Sermons,New Year sermons,17
Newspapers,Newspaper clippings,1
Newspapers,Newspapers,4334
Non-Fiction,Non-Fiction,17145
Novels,Novels,258
Obituaries,Obituaries,12
Offprints,Offprints,1
Sermons,Ordination sermons,529
Partly printed-partly blank books,Partly printed-partly blank books,8
Pastoral letters,Pastoral letters,12
Periodicals,Periodicals,55
Perpetual calendars,Perpetual calendars,4
Petitions,Petitions,3
Playbills,Playbills,160
Plays,Plays,253
Poems,Poems,2387
Political works,Political works,1
Prayer books,Prayer books,113
Prayers,Prayers,427
Prices current,Prices current,36
Primers (Instructional books),Primers (Instructional books),249
Advertisements,Printers' advertisements,77
Prize essays,Prize essays,5
Proclamations,Proclamations,5
Prospectuses,Prospectuses,438
Proverbs,Proverbs,1
Psalters,Psalters,378
Advertisements,Publishers' advertisements,95
Catalogs,Publishers' catalogs,6
Puzzles,Puzzles,1
Questions and answers,Questions and answers,72
Quotations,Quotations,3
Readers,Readers,195
Rebuses,Rebuses,4
Newspapers,Religious newspapers,1
Periodicals,Religious periodicals,38
Religious works,Religious works,2
Report cards,Report cards,1
Riddles,Riddles,4
Robinsonades,Robinsonades,4
Satires,Satires,271
Schedules,Schedules,2
Newspapers,Science newspapers,2
Periodicals,Science periodicals,11
Scientific works,Scientific works,1
Serial publications,Serial publications,170
Sermons,Sermons,2165
Newspapers,Ship newspapers,2
Single sheet verse,Single sheet verse,41
Song sheets,Song sheets,4
Songs,Songs,341
Songsters,Songsters,96
Souvenirs (Keepsakes),Souvenirs (Keepsakes),1
Spellers,Spellers,251
Subscribers' lists,Subscribers' lists,207
Subscription publications,Subscription publications,1
Syllabi,Syllabi,12
Textbooks,Textbooks,356
Addresses,Thanksgiving day addresses,15
Proclamations,Thanksgiving day proclamations,251
Sermons,Thanksgiving sermons,238
Catalogs,Trade catalogs,16
Travel literature,Travel literature,59
Treaties,Treaties,136
Type specimens,Type specimens,4
Verse,Verse,1
Addresses,Washington's Birthday addresses,4
Sermons,Wedding sermons,1
Wills,Wills,11
Periodicals,Women's periodicals,10
Writing books,Writing books,21
